Date,Close
2000-01-03,155.7
2000-01-04,147.4
2000-01-05,138.4
2000-01-06,149.5
2000-01-07,146.35
2000-01-10,144.9
2000-01-11,141.0
2000-01-12,147.9
2000-01-13,148.85
2000-01-14,144.5
2000-01-17,143.75
2000-01-18,139.2
2000-01-19,142.15
2000-01-20,141.1
2000-01-21,138.85
2000-01-24,140.05
2000-01-25,137.7
2000-01-27,138.7
2000-01-28,136.2
2000-01-31,136.05
2000-02-01,134.75
2000-02-02,129.1
2000-02-03,125.55
2000-02-04,123.7
2000-02-07,114.0
2000-02-08,118.1
2000-02-09,117.5
2000-02-10,117.1
2000-02-11,108.7
2000-02-14,102.05
2000-02-15,102.05
2000-02-16,104.0
2000-02-17,109.95
2000-02-18,106.75
2000-02-21,106.45
2000-02-22,107.25
2000-02-23,108.5
2000-02-24,107.05
2000-02-25,102.6
2000-02-28,102.95
2000-02-29,101.1
2000-03-01,101.65
2000-03-02,96.2
2000-03-03,89.4
2000-03-06,87.6
2000-03-07,85.2
2000-03-08,80.0
2000-03-09,74.05
2000-03-10,72.45
2000-03-13,74.5
2000-03-14,80.5
2000-03-15,86.95
2000-03-16,91.0
2000-03-21,90.4
2000-03-22,96.2
2000-03-23,98.1
2000-03-24,94.5
2000-03-27,88.6
2000-03-28,88.45
2000-03-29,88.1
2000-03-30,89.55
2000-03-31,89.9
2000-04-03,90.0
2000-04-04,85.15
2000-04-05,83.55
2000-04-06,77.15
2000-04-07,83.35
2000-04-10,83.6
2000-04-11,83.8
2000-04-12,82.35
2000-04-13,81.5
2000-04-17,83.15
2000-04-18,81.45
2000-04-19,81.75
2000-04-20,80.5
2000-04-24,75.2
2000-04-25,70.75
2000-04-26,76.0
2000-04-27,73.15
2000-04-28,69.95
2000-05-02,68.2
2000-05-03,70.0
2000-05-04,69.8
2000-05-05,68.95
2000-05-08,65.6
2000-05-09,65.5
2000-05-10,62.5
2000-05-11,60.45
2000-05-12,61.1
2000-05-15,59.6
2000-05-16,59.85
2000-05-17,62.6
2000-05-18,62.8
2000-05-19,59.7
2000-05-22,59.85
2000-05-23,60.05
2000-05-24,63.0
2000-05-25,66.3
2000-05-26,68.0
2000-05-29,69.05
2000-05-30,71.55
2000-05-31,73.95
2000-06-01,69.75
2000-06-02,70.7
2000-06-05,70.75
2000-06-06,68.5
2000-06-07,69.25
2000-06-08,69.0
2000-06-09,67.9
2000-06-12,67.8
2000-06-13,66.85
2000-06-14,68.95
2000-06-15,67.6
2000-06-16,67.3
2000-06-19,71.7
2000-06-20,71.65
2000-06-21,69.6
2000-06-22,69.85
2000-06-23,69.95
2000-06-26,68.4
2000-06-27,67.25
2000-06-28,67.95
2000-06-29,66.9
2000-06-30,66.4
2000-07-03,65.65
2000-07-04,65.5
2000-07-05,67.3
2000-07-06,67.4
2000-07-07,67.0
2000-07-10,66.9
2000-07-11,66.7
2000-07-12,69.1
2000-07-13,68.75
2000-07-14,67.7
2000-07-17,71.8
2000-07-18,72.9
2000-07-19,70.5
2000-07-20,69.0
2000-07-21,68.4
2000-07-24,65.45
2000-07-25,66.35
2000-07-26,66.5
2000-07-27,66.2
2000-07-28,61.35
2000-07-31,58.95
2000-08-01,55.95
2000-08-02,52.45
2000-08-03,51.55
2000-08-04,50.9
2000-08-07,51.25
2000-08-08,49.9
2000-08-09,52.8
2000-08-10,52.05
2000-08-11,51.65
2000-08-14,51.2
2000-08-16,52.95
2000-08-17,52.85
2000-08-18,52.55
2000-08-21,53.35
2000-08-22,53.25
2000-08-23,55.25
2000-08-24,55.25
2000-08-25,54.75
2000-08-28,56.25
2000-08-29,56.85
2000-08-30,57.25
2000-08-31,60.1
2000-09-04,57.85
2000-09-05,58.2
2000-09-06,58.35
2000-09-07,59.2
2000-09-08,59.95
2000-09-11,59.2
2000-09-12,58.55
2000-09-13,58.0
2000-09-14,56.1
2000-09-15,55.2
2000-09-18,53.65
2000-09-19,52.5
2000-09-20,53.95
2000-09-21,54.0
2000-09-22,52.4
2000-09-25,53.3
2000-09-26,52.7
2000-09-27,52.25
2000-09-28,51.45
2000-09-29,51.0
2000-10-03,51.5
2000-10-04,53.25
2000-10-05,51.6
2000-10-06,52.4
2000-10-09,51.5
2000-10-10,50.0
2000-10-11,50.6
2000-10-12,48.8
2000-10-13,48.15
2000-10-16,49.6
2000-10-17,49.2
2000-10-18,49.85
2000-10-19,50.5
2000-10-20,51.75
2000-10-23,52.0
2000-10-24,52.0
2000-10-25,52.85
2000-10-26,53.8
2000-10-27,52.6
2000-10-30,52.45
2000-10-31,51.85
2000-11-01,54.05
2000-11-02,55.1
2000-11-03,56.2
2000-11-06,57.7
