Date,Close,Predictions
2017-11-10,735.1,747.47064
2017-11-13,739.65,742.2717
2017-11-14,742.75,740.66486
2017-11-15,721.45,742.0164
2017-11-16,731.35,740.2086
2017-11-17,724.2,739.5222
2017-11-20,728.9,737.91565
2017-11-21,754.5,737.2316
2017-11-22,747.1,742.4992
2017-11-23,749.2,747.9298
2017-11-24,744.05,752.8489
2017-11-27,755.3,755.26587
2017-11-28,761.7,758.2094
2017-11-29,752.3,761.9323
2017-11-30,731.35,763.12506
2017-12-01,729.9,758.29895
2017-12-04,711.05,751.16656
2017-12-05,698.75,740.2453
2017-12-06,685.9,727.2382
2017-12-07,722.0,713.3138
2017-12-08,728.05,709.5496
2017-12-11,745.55,712.88025
2017-12-12,730.45,723.09955
2017-12-13,726.05,731.642
2017-12-14,719.6,736.86115
2017-12-15,717.8,737.87915
2017-12-18,710.05,736.071
2017-12-19,738.0,731.4331
2017-12-20,736.7,732.16394
2017-12-21,730.95,734.9303
2017-12-22,731.6,737.02795
2017-12-26,735.55,738.5263
2017-12-27,740.35,740.1845
2017-12-28,763.3,742.5214
2017-12-29,762.7,749.53064
2018-01-01,755.75,757.157
2018-01-02,773.45,762.0598
2018-01-03,775.8,768.3215
2018-01-04,781.65,774.20483
2018-01-05,774.2,779.8429
2018-01-08,784.35,782.427
2018-01-09,790.6,785.07166
2018-01-10,778.85,788.33826
2018-01-11,786.2,788.59406
2018-01-12,775.35,788.9267
2018-01-15,774.35,786.7557
2018-01-16,766.85,783.658
2018-01-17,780.75,779.1302
2018-01-18,800.5,777.93396
2018-01-19,802.35,782.8833
2018-01-22,813.6,790.2941
2018-01-23,807.25,799.9697
2018-01-24,824.25,807.30865
2018-01-25,768.95,815.6398
2018-01-29,788.5,810.35077
2018-01-30,770.75,803.9454
2018-01-31,752.05,794.0385
2018-02-01,758.85,780.5918
2018-02-02,733.05,769.8634
2018-02-05,722.5,757.2788
2018-02-06,700.05,744.59973
2018-02-07,701.25,730.0365
2018-02-08,718.05,718.2
2018-02-09,708.35,713.88574
2018-02-12,726.5,712.3659
2018-02-14,721.9,716.7286
2018-02-15,716.1,722.2319
2018-02-16,703.6,726.11584
2018-02-19,701.3,725.7553
2018-02-20,695.35,722.7965
2018-02-21,688.25,717.7309
2018-02-22,675.45,711.07965
2018-02-23,700.55,702.2937
2018-02-26,720.5,699.48444
2018-02-27,721.15,704.2479
2018-02-28,728.75,712.0311
2018-03-01,714.25,721.46826
2018-03-05,720.9,726.69763
2018-03-06,702.4,730.1229
2018-03-07,702.0,727.7949
2018-03-08,710.8,722.9441
2018-03-09,712.15,719.50684
2018-03-12,717.95,717.66437
2018-03-13,722.8,718.2598
2018-03-14,718.35,721.00165
2018-03-15,721.15,723.3632
2018-03-16,719.7,725.70404
2018-03-19,701.85,727.21277
2018-03-20,712.3,724.2305
2018-03-21,714.9,721.8786
2018-03-22,716.9,720.7349
2018-03-23,704.75,720.8798
2018-03-26,724.4,719.1337
2018-03-27,736.8,721.0329
2018-03-28,730.25,726.8556
2018-04-02,752.4,732.08746
2018-04-03,765.65,740.71375
2018-04-04,732.5,751.8909
2018-04-05,756.95,754.8771
2018-04-06,753.2,758.45123
2018-04-09,751.2,760.34625
2018-04-10,751.7,760.52075
2018-04-11,745.55,759.8169
2018-04-12,747.9,757.432
2018-04-13,747.1,755.21765
2018-04-16,763.6,753.3561
2018-04-17,757.55,755.6308
2018-04-18,757.6,758.1771
2018-04-19,768.9,760.4987
2018-04-20,765.75,764.66327
2018-04-23,753.8,768.13745
2018-04-24,744.7,768.02014
2018-04-25,743.9,764.2169
2018-04-26,750.25,759.17053
2018-04-27,754.35,755.86664
2018-04-30,729.85,754.9872
2018-05-02,733.4,750.358
2018-05-03,707.9,745.82983
2018-05-04,703.65,736.8602
2018-05-07,717.4,726.88586
2018-05-08,721.5,721.414
2018-05-09,731.3,720.2133
2018-05-10,722.0,723.6454
2018-05-11,735.25,726.84735
2018-05-14,728.5,732.2309
2018-05-15,733.3,736.07056
2018-05-16,725.85,739.3775
2018-05-17,707.1,740.0155
2018-05-18,709.45,735.1647
2018-05-21,682.55,729.05
2018-05-22,682.3,717.77014
2018-05-23,685.45,706.34534
2018-05-24,694.7,697.8305
2018-05-25,697.25,694.5301
2018-05-28,721.0,695.17847
2018-05-29,704.85,702.80707
2018-05-30,704.7,709.03925
2018-05-31,707.6,713.4748
2018-06-01,697.75,716.61145
2018-06-04,686.45,716.25684
2018-06-05,685.7,711.8073
2018-06-06,693.55,705.99347
2018-06-07,704.05,702.2214
2018-06-08,712.9,702.3757
2018-06-11,699.3,706.3314
2018-06-12,688.7,708.6001
2018-06-13,687.55,707.47485
2018-06-14,684.9,704.62915
2018-06-15,700.7,700.87787
2018-06-18,692.25,700.7183
2018-06-19,674.1,700.56903
2018-06-20,652.25,696.82385
2018-06-21,646.0,687.627
