Date,Close
2000-01-03,116.35
2000-01-04,114.7
2000-01-05,114.0
2000-01-06,119.3
2000-01-07,116.5
2000-01-10,119.0
2000-01-11,114.55
2000-01-12,115.45
2000-01-13,115.1
2000-01-14,113.9
2000-01-17,115.55
2000-01-18,114.05
2000-01-19,117.4
2000-01-20,116.4
2000-01-21,114.2
2000-01-24,112.0
2000-01-25,107.55
2000-01-27,108.2
2000-01-28,105.75
2000-01-31,97.3
2000-02-01,97.85
2000-02-02,100.25
2000-02-03,100.95
2000-02-04,97.3
2000-02-07,95.0
2000-02-08,92.5
2000-02-09,91.05
2000-02-10,89.8
2000-02-11,87.9
2000-02-14,83.8
2000-02-15,84.15
2000-02-16,86.75
2000-02-17,84.0
2000-02-18,80.1
2000-02-21,78.15
2000-02-22,73.2
2000-02-23,74.6
2000-02-24,74.55
2000-02-25,69.9
2000-02-28,72.45
2000-02-29,70.35
2000-03-01,73.1
2000-03-02,68.0
2000-03-03,64.6
2000-03-06,65.1
2000-03-07,61.7
2000-03-08,61.25
2000-03-09,62.3
2000-03-10,60.2
2000-03-13,58.4
2000-03-14,62.8
2000-03-15,67.85
2000-03-16,68.2
2000-03-21,66.5
2000-03-22,63.95
2000-03-23,60.95
2000-03-24,61.25
2000-03-27,62.95
2000-03-28,61.05
2000-03-29,61.15
2000-03-30,64.3
2000-03-31,64.5
2000-04-03,66.75
2000-04-04,61.45
2000-04-05,63.4
2000-04-06,62.45
2000-04-07,60.95
2000-04-10,65.25
2000-04-11,63.25
2000-04-12,64.75
2000-04-13,62.95
2000-04-17,63.4
2000-04-18,63.1
2000-04-19,61.3
2000-04-20,59.05
2000-04-24,58.7
2000-04-25,55.9
2000-04-26,59.35
2000-04-27,57.9
2000-04-28,56.15
2000-05-02,52.55
2000-05-03,53.25
2000-05-04,53.8
2000-05-05,53.7
2000-05-08,54.05
2000-05-09,53.2
2000-05-10,53.7
2000-05-11,52.75
2000-05-12,50.8
2000-05-15,51.8
2000-05-16,50.15
2000-05-17,52.0
2000-05-18,49.2
2000-05-19,46.45
2000-05-22,46.65
2000-05-23,46.7
2000-05-24,48.3
2000-05-25,49.65
2000-05-26,50.85
2000-05-29,53.95
2000-05-30,53.95
2000-05-31,54.15
2000-06-01,54.65
2000-06-02,53.95
2000-06-05,56.95
2000-06-06,58.75
2000-06-07,58.25
2000-06-08,57.65
2000-06-09,56.15
2000-06-12,58.15
2000-06-13,59.05
2000-06-14,61.6
2000-06-15,60.65
2000-06-16,60.15
2000-06-19,60.65
2000-06-20,57.9
2000-06-21,59.5
2000-06-22,61.3
2000-06-23,59.95
2000-06-26,58.3
2000-06-27,55.55
2000-06-28,56.1
2000-06-29,55.5
2000-06-30,55.15
2000-07-03,55.05
2000-07-04,54.3
2000-07-05,55.75
2000-07-06,55.2
2000-07-07,55.0
2000-07-10,57.2
2000-07-11,59.55
2000-07-12,63.8
2000-07-13,60.95
2000-07-14,62.75
2000-07-17,63.2
2000-07-18,61.25
2000-07-19,61.0
2000-07-20,58.05
2000-07-21,55.2
2000-07-24,51.35
2000-07-25,51.9
2000-07-26,53.1
2000-07-27,53.2
2000-07-28,53.0
2000-07-31,49.65
2000-08-01,47.5
2000-08-02,47.45
2000-08-03,45.0
2000-08-04,42.5
2000-08-07,42.5
2000-08-08,42.7
2000-08-09,44.5
2000-08-10,43.25
2000-08-11,42.65
2000-08-14,43.6
2000-08-16,45.85
2000-08-17,44.8
2000-08-18,43.9
2000-08-21,45.55
2000-08-22,46.15
2000-08-23,46.0
2000-08-24,45.1
2000-08-25,45.0
2000-08-28,45.7
2000-08-29,45.4
2000-08-30,45.7
2000-08-31,44.95
2000-09-04,45.6
2000-09-05,47.15
2000-09-06,50.95
2000-09-07,55.05
2000-09-08,54.45
2000-09-11,55.05
2000-09-12,53.0
2000-09-13,51.6
2000-09-14,50.8
2000-09-15,47.6
2000-09-18,46.1
2000-09-19,44.75
2000-09-20,46.3
2000-09-21,46.0
2000-09-22,44.05
2000-09-25,45.0
2000-09-26,43.65
2000-09-27,44.65
2000-09-28,44.9
2000-09-29,44.1
2000-10-03,44.45
2000-10-04,45.15
2000-10-05,44.4
2000-10-06,43.95
2000-10-09,43.05
2000-10-10,42.2
2000-10-11,42.7
2000-10-12,41.75
2000-10-13,40.35
2000-10-16,40.9
2000-10-17,39.8
2000-10-18,40.45
2000-10-19,40.35
2000-10-20,40.05
2000-10-23,38.1
2000-10-24,39.0
2000-10-25,39.6
2000-10-27,41.0
2000-10-30,40.0
2000-10-31,39.3
2000-11-01,40.8
2000-11-02,43.95
2000-11-03,45.85
2000-11-06,46.75
2000-11-07,47.95
2000-11-08,47.65
2000-11-09,46.65
2000-11-10,49.7
2000-11-13,47.4
2000-11-14,49.0
2000-11-15,48.35
2000-11-16,49.0
2000-11-17,50.5
2000-11-20,50.0
2000-11-21,50.15
2000-11-22,53.8
2000-11-23,53.95
2000-11-24,54.5
2000-11-27,58.55
2000-11-28,63.15
2000-11-29,68.2
2000-11-30,73.7
2000-12-01,79.6
2000-12-04,85.75
2000-12-05,92.55
2000-12-06,85.15
2000-12-07,78.35
2000-12-08,83.8
2000-12-11,81.75
2000-12-12,79.05
2000-12-13,79.6
2000-12-14,78.6
2000-12-15,75.6
2000-12-18,80.6
2000-12-19,79.05
2000-12-20,79.7
2000-12-21,78.2
2000-12-22,75.8
2000-12-26,70.6
2000-12-27,70.9
2000-12-28,72.55
2000-12-29,73.85
2001-01-01,76.0
2001-01-02,78.25
2001-01-03,81.1
2001-01-04,78.5
2001-01-05,77.2
2001-01-08,78.95
2001-01-09,85.2
2001-01-10,87.5
2001-01-11,83.45
2001-01-12,90.15
2001-01-15,93.8
2001-01-16,88.6
2001-01-17,89.3
2001-01-18,89.6
2001-01-19,86.4
2001-01-22,85.95
2001-01-23,87.65
2001-01-24,87.65
2001-01-25,94.7
2001-01-29,97.0
2001-01-30,100.65
2001-01-31,100.35
2001-02-01,96.4
2001-02-02,95.1
2001-02-05,97.8
2001-02-06,98.95
2001-02-07,100.0
2001-02-08,102.4
2001-02-09,103.35
2001-02-12,105.1
2001-02-13,105.3
2001-02-14,106.35
2001-02-15,110.3
2001-02-16,106.2
2001-02-19,98.0
2001-02-20,97.85
2001-02-21,97.05
2001-02-22,94.5
2001-02-23,89.1
2001-02-26,86.65
2001-02-27,82.5
2001-02-28,83.4
2001-03-01,85.15
2001-03-02,78.95
2001-03-05,75.8
2001-03-07,77.6
2001-03-08,77.0
2001-03-09,71.05
2001-03-12,65.4
2001-03-13,60.2
2001-03-14,63.9
2001-03-15,61.4
2001-03-16,57.4
2001-03-19,55.25
2001-03-20,56.25
2001-03-21,57.4
2001-03-22,57.0
2001-03-23,54.2
2001-03-26,52.15
2001-03-27,55.9
2001-03-28,58.45
2001-03-29,56.7
2001-03-30,52.9
2001-04-02,50.65
2001-04-03,52.95
2001-04-04,52.9
2001-04-06,52.75
2001-04-09,52.0
2001-04-10,52.5
2001-04-11,51.0
2001-04-12,47.95
2001-04-16,50.95
2001-04-17,52.15
2001-04-18,55.95
2001-04-19,53.65
2001-04-20,53.55
2001-04-23,57.85
2001-04-24,62.5
2001-04-25,67.5
2001-04-26,66.35
2001-04-27,61.05
2001-04-30,61.7
2001-05-02,61.05
2001-05-03,57.05
2001-05-04,57.65
2001-05-07,56.95
2001-05-08,55.65
2001-05-09,58.75
2001-05-10,58.35
2001-05-11,55.55
2001-05-14,54.75
2001-05-15,52.55
2001-05-16,55.85
2001-05-17,55.05
2001-05-18,54.4
2001-05-21,56.35
2001-05-22,57.1
2001-05-23,57.95
2001-05-24,56.55
2001-05-25,54.85
2001-05-28,57.25
2001-05-29,61.85
2001-05-30,63.5
2001-05-31,61.55
2001-06-01,60.05
2001-06-04,57.05
2001-06-05,55.35
2001-06-06,56.05
2001-06-07,53.0
2001-06-08,53.8
2001-06-11,54.4
2001-06-12,54.05
2001-06-13,58.4
2001-06-14,62.35
2001-06-15,58.45
2001-06-18,56.5
2001-06-19,56.15
2001-06-20,55.35
2001-06-21,53.2
2001-06-22,49.15
