Date,Close
2000-01-03,26.7
2000-01-04,26.85
2000-01-05,26.3
2000-01-06,25.95
2000-01-07,24.8
2000-01-10,25.0
2000-01-11,23.2
2000-01-12,24.0
2000-01-13,23.6
2000-01-14,23.25
2000-01-17,25.15
2000-01-18,24.9
2000-01-19,25.6
2000-01-20,24.45
2000-01-21,25.1
2000-01-24,24.8
2000-01-25,25.05
2000-01-27,27.05
2000-01-28,29.25
2000-01-31,31.6
2000-02-01,34.15
2000-02-02,36.9
2000-02-03,39.85
2000-02-04,43.05
2000-02-07,39.65
2000-02-08,37.95
2000-02-09,36.05
2000-02-10,38.95
2000-02-11,42.1
2000-02-14,38.75
2000-02-15,35.65
2000-02-16,38.1
2000-02-17,38.5
2000-02-18,36.6
2000-02-21,35.4
2000-02-22,33.75
2000-02-23,34.55
2000-02-24,37.35
2000-02-25,39.45
2000-02-28,38.85
2000-02-29,36.25
2000-03-01,39.15
2000-03-02,38.2
2000-03-03,35.55
2000-03-06,35.2
2000-03-07,32.65
2000-03-08,30.6
2000-03-09,28.5
2000-03-10,28.05
2000-03-13,28.35
2000-03-14,27.4
2000-03-15,29.6
2000-03-16,31.9
2000-03-21,30.8
2000-03-22,32.35
2000-03-23,31.45
2000-03-24,31.9
2000-03-27,30.6
2000-03-28,31.7
2000-03-29,34.25
2000-03-30,36.75
2000-03-31,39.7
2000-04-03,38.9
2000-04-04,35.8
2000-04-05,34.7
2000-04-06,32.8
2000-04-07,35.45
2000-04-10,37.95
2000-04-11,36.7
2000-04-12,36.95
2000-04-13,35.0
2000-04-17,34.05
2000-04-18,34.4
2000-04-19,33.85
2000-04-20,33.45
2000-04-24,32.55
2000-04-25,31.1
2000-04-26,33.6
2000-04-27,34.95
2000-04-28,34.5
2000-05-02,35.85
2000-05-03,36.25
2000-05-04,36.05
2000-05-05,35.7
2000-05-08,34.6
2000-05-09,36.15
2000-05-10,35.8
2000-05-11,35.15
2000-05-12,35.25
2000-05-15,35.45
2000-05-16,35.35
2000-05-17,37.25
2000-05-18,36.75
2000-05-19,37.05
2000-05-22,36.15
2000-05-23,35.0
2000-05-24,35.35
2000-05-25,35.1
2000-05-26,34.95
2000-05-29,35.45
2000-05-30,35.3
2000-05-31,36.1
2000-06-01,35.6
2000-06-02,35.15
2000-06-05,35.4
2000-06-06,35.45
2000-06-07,35.6
2000-06-08,35.9
2000-06-09,35.45
2000-06-12,32.7
2000-06-13,32.85
2000-06-14,33.2
2000-06-15,33.45
2000-06-16,33.9
2000-06-19,33.9
2000-06-20,33.75
2000-06-21,33.6
2000-06-22,33.75
2000-06-23,33.3
2000-06-26,32.85
2000-06-27,32.55
2000-06-28,33.0
2000-06-29,32.9
2000-06-30,33.0
2000-07-03,33.55
2000-07-04,33.1
2000-07-05,33.5
2000-07-06,34.45
2000-07-07,33.85
2000-07-10,33.7
2000-07-11,33.25
2000-07-12,34.85
2000-07-13,37.65
2000-07-14,40.7
2000-07-17,39.05
2000-07-18,39.6
2000-07-19,42.25
2000-07-20,40.9
2000-07-21,41.8
2000-07-24,38.5
2000-07-25,39.25
2000-07-26,39.95
2000-07-27,39.75
2000-07-28,39.85
2000-07-31,39.5
2000-08-01,38.9
2000-08-02,39.05
2000-08-03,38.95
2000-08-04,37.75
2000-08-07,38.05
2000-08-08,37.55
2000-08-09,38.1
2000-08-10,38.15
2000-08-11,37.8
2000-08-14,37.25
2000-08-16,37.95
2000-08-17,37.85
2000-08-18,37.9
2000-08-21,37.7
2000-08-22,37.65
2000-08-23,38.2
2000-08-24,37.9
2000-08-25,37.95
2000-08-28,37.85
2000-08-29,37.65
2000-08-30,38.4
2000-08-31,38.1
2000-09-04,38.05
2000-09-05,37.9
2000-09-06,39.45
2000-09-07,40.15
2000-09-08,40.15
2000-09-11,40.1
2000-09-12,39.85
2000-09-13,39.65
2000-09-14,39.15
2000-09-15,37.95
2000-09-18,36.1
2000-09-19,35.8
2000-09-20,36.95
2000-09-21,37.0
2000-09-22,35.4
2000-09-25,36.7
2000-09-26,36.3
2000-09-27,36.95
2000-09-28,36.4
2000-09-29,36.2
2000-10-03,36.05
2000-10-04,36.6
2000-10-05,36.1
2000-10-06,35.95
2000-10-09,35.25
2000-10-10,34.75
2000-10-11,34.1
2000-10-12,33.35
2000-10-13,32.05
2000-10-16,34.65
2000-10-17,35.7
2000-10-18,36.65
2000-10-19,38.3
2000-10-20,37.35
2000-10-23,37.25
2000-10-24,37.25
2000-10-25,38.1
2000-10-26,38.15
2000-10-27,38.4
2000-10-30,38.25
2000-10-31,38.15
2000-11-01,38.4
2000-11-02,38.7
2000-11-03,39.1
2000-11-06,39.3
2000-11-07,38.8
2000-11-08,39.5
2000-11-09,39.25
2000-11-10,39.45
2000-11-13,38.65
2000-11-14,38.9
2000-11-15,39.95
2000-11-16,43.15
2000-11-17,41.85
2000-11-20,44.5
2000-11-21,48.05
2000-11-22,48.7
2000-11-23,46.7
2000-11-24,46.4
2000-11-27,47.1
2000-11-28,45.05
2000-11-29,44.65
2000-11-30,44.55
2000-12-01,43.95
2000-12-04,43.55
2000-12-05,43.95
2000-12-06,44.8
2000-12-07,44.85
2000-12-08,45.8
2000-12-11,49.5
2000-12-12,47.0
2000-12-13,47.6
2000-12-14,46.45
2000-12-15,45.15
2000-12-18,45.6
2000-12-19,44.75
2000-12-20,45.5
2000-12-21,45.05
2000-12-22,44.9
2000-12-26,43.9
2000-12-27,45.25
2000-12-28,45.05
2000-12-29,45.2
2001-01-01,45.5
2001-01-02,45.75
2001-01-03,47.05
2001-01-04,46.2
2001-01-05,46.5
2001-01-08,46.6
2001-01-09,46.0
2001-01-10,46.15
2001-01-11,46.2
2001-01-12,46.5
2001-01-15,45.95
2001-01-16,45.85
2001-01-17,47.2
2001-01-18,47.4
2001-01-19,47.7
2001-01-22,48.55
2001-01-23,48.0
2001-01-24,50.05
2001-01-25,54.05
2001-01-29,49.75
2001-01-30,45.8
2001-01-31,43.75
2001-02-01,43.35
2001-02-02,43.25
2001-02-05,41.3
2001-02-06,41.4
2001-02-07,41.35
2001-02-08,43.1
2001-02-09,43.15
2001-02-12,43.0
2001-02-13,41.45
2001-02-14,41.65
2001-02-15,41.05
